Schaefer2018_400Parcels_17Networks_order atlas,
Labels ,n_vertices
17Networks_RH_DefaultA_PFCd_1-rh,17
17Networks_RH_DefaultA_PFCd_2-rh,10
17Networks_RH_DefaultA_PFCm_1-rh,22
17Networks_RH_DefaultA_PFCm_2-rh,7
17Networks_RH_DefaultA_PFCm_3-rh,15
17Networks_RH_DefaultA_PFCm_4-rh,16
17Networks_RH_DefaultA_PFCm_5-rh,9
17Networks_RH_DefaultA_PFCm_6-rh,9
17Networks_RH_DefaultA_Temp_1-rh,13
17Networks_RH_DefaultA_pCunPCC_1-rh,14
17Networks_RH_DefaultA_pCunPCC_2-rh,8
17Networks_RH_DefaultA_pCunPCC_3-rh,15
17Networks_RH_DefaultA_pCunPCC_4-rh,7
17Networks_RH_DefaultA_pCunPCC_5-rh,9
17Networks_RH_DefaultB_AntTemp_1-rh,13
17Networks_RH_DefaultB_PFCd_1-rh,7
17Networks_RH_DefaultB_PFCd_2-rh,10
17Networks_RH_DefaultB_PFCd_3-rh,7
17Networks_RH_DefaultB_PFCd_4-rh,15
17Networks_RH_DefaultB_PFCd_5-rh,13
17Networks_RH_DefaultB_PFCv_1-rh,15
17Networks_RH_DefaultB_PFCv_2-rh,16
17Networks_RH_DefaultB_PFCv_3-rh,12
17Networks_RH_DefaultB_Temp_1-rh,11
17Networks_RH_DefaultB_Temp_2-rh,6
17Networks_RH_DefaultC_IPL_1-rh,10
17Networks_RH_DefaultC_IPL_2-rh,9
17Networks_RH_DefaultC_PHC_1-rh,12
17Networks_RH_DefaultC_PHC_2-rh,15
17Networks_RH_DefaultC_Rsp_1-rh,7
17Networks_RH_DefaultC_Rsp_2-rh,20
17Networks_RH_DorsAttnA_ParOcc_1-rh,17
17Networks_RH_DorsAttnA_ParOcc_2-rh,14
17Networks_RH_DorsAttnA_ParOcc_3-rh,10
17Networks_RH_DorsAttnA_SPL_1-rh,7
17Networks_RH_DorsAttnA_SPL_2-rh,7
17Networks_RH_DorsAttnA_SPL_3-rh,5
17Networks_RH_DorsAttnA_SPL_4-rh,6
17Networks_RH_DorsAttnA_SPL_5-rh,14
17Networks_RH_DorsAttnA_SPL_6-rh,12
17Networks_RH_DorsAttnA_SPL_7-rh,14
17Networks_RH_DorsAttnA_SPL_8-rh,7
17Networks_RH_DorsAttnA_TempOcc_1-rh,11
17Networks_RH_DorsAttnA_TempOcc_2-rh,21
17Networks_RH_DorsAttnA_TempOcc_3-rh,15
17Networks_RH_DorsAttnB_FEF_1-rh,14
17Networks_RH_DorsAttnB_FEF_2-rh,13
17Networks_RH_DorsAttnB_FEF_3-rh,7
17Networks_RH_DorsAttnB_PostC_1-rh,12
17Networks_RH_DorsAttnB_PostC_2-rh,7
17Networks_RH_DorsAttnB_PostC_3-rh,9
17Networks_RH_DorsAttnB_PostC_4-rh,12
17Networks_RH_DorsAttnB_PostC_5-rh,14
17Networks_RH_DorsAttnB_PostC_6-rh,14
17Networks_RH_DorsAttnB_PostC_7-rh,14
17Networks_RH_DorsAttnB_PostC_8-rh,9
17Networks_RH_DorsAttnB_TempOcc_1-rh,9
17Networks_RH_LimbicA_TempPole_1-rh,19
17Networks_RH_LimbicA_TempPole_2-rh,12
17Networks_RH_LimbicA_TempPole_3-rh,11
17Networks_RH_LimbicA_TempPole_4-rh,17
17Networks_RH_LimbicA_TempPole_5-rh,13
17Networks_RH_LimbicA_TempPole_6-rh,12
17Networks_RH_LimbicB_OFC_1-rh,16
17Networks_RH_LimbicB_OFC_2-rh,12
17Networks_RH_LimbicB_OFC_3-rh,14
17Networks_RH_LimbicB_OFC_4-rh,6
17Networks_RH_LimbicB_OFC_5-rh,12
17Networks_RH_LimbicB_OFC_6-rh,9
17Networks_RH_SalVentAttnA_FrMed_1-rh,15
17Networks_RH_SalVentAttnA_FrMed_2-rh,8
17Networks_RH_SalVentAttnA_FrMed_3-rh,11
17Networks_RH_SalVentAttnA_FrMed_4-rh,8
17Networks_RH_SalVentAttnA_FrOper_1-rh,13
17Networks_RH_SalVentAttnA_FrOper_2-rh,11
17Networks_RH_SalVentAttnA_FrOper_3-rh,11
17Networks_RH_SalVentAttnA_Ins_1-rh,15
17Networks_RH_SalVentAttnA_Ins_2-rh,8
17Networks_RH_SalVentAttnA_Ins_3-rh,14
17Networks_RH_SalVentAttnA_Ins_4-rh,7
17Networks_RH_SalVentAttnA_ParMed_1-rh,8
17Networks_RH_SalVentAttnA_ParMed_2-rh,15
17Networks_RH_SalVentAttnA_ParMed_3-rh,11
17Networks_RH_SalVentAttnA_ParMed_4-rh,12
17Networks_RH_SalVentAttnA_ParOper_1-rh,18
17Networks_RH_SalVentAttnA_ParOper_2-rh,12
17Networks_RH_SalVentAttnA_ParOper_3-rh,13
17Networks_RH_SalVentAttnA_PrC_1-rh,11
17Networks_RH_SalVentAttnB_IPL_1-rh,14
17Networks_RH_SalVentAttnB_Ins_1-rh,11
17Networks_RH_SalVentAttnB_Ins_2-rh,20
17Networks_RH_SalVentAttnB_PFCl_1-rh,15
17Networks_RH_SalVentAttnB_PFCl_2-rh,11
17Networks_RH_SalVentAttnB_PFCl_3-rh,18
17Networks_RH_SalVentAttnB_PFClv_1-rh,9
17Networks_RH_SalVentAttnB_PFCmp_1-rh,14
17Networks_RH_SalVentAttnB_PFCmp_2-rh,22
17Networks_RH_SomMotA_1-rh,11
17Networks_RH_SomMotA_10-rh,11
17Networks_RH_SomMotA_11-rh,11
17Networks_RH_SomMotA_12-rh,13
17Networks_RH_SomMotA_13-rh,16
17Networks_RH_SomMotA_14-rh,8
17Networks_RH_SomMotA_15-rh,10
17Networks_RH_SomMotA_16-rh,10
17Networks_RH_SomMotA_17-rh,6
17Networks_RH_SomMotA_18-rh,14
17Networks_RH_SomMotA_19-rh,14
17Networks_RH_SomMotA_2-rh,10
17Networks_RH_SomMotA_20-rh,10
17Networks_RH_SomMotA_3-rh,13
17Networks_RH_SomMotA_4-rh,14
17Networks_RH_SomMotA_5-rh,12
17Networks_RH_SomMotA_6-rh,10
17Networks_RH_SomMotA_7-rh,17
17Networks_RH_SomMotA_8-rh,12
17Networks_RH_SomMotA_9-rh,10
17Networks_RH_SomMotB_Aud_1-rh,15
17Networks_RH_SomMotB_Aud_2-rh,15
17Networks_RH_SomMotB_Aud_3-rh,13
17Networks_RH_SomMotB_Cent_1-rh,7
17Networks_RH_SomMotB_Cent_2-rh,29
17Networks_RH_SomMotB_Cent_3-rh,12
17Networks_RH_SomMotB_Ins_1-rh,12
17Networks_RH_SomMotB_S2_1-rh,9
17Networks_RH_SomMotB_S2_2-rh,9
17Networks_RH_SomMotB_S2_3-rh,8
17Networks_RH_SomMotB_S2_4-rh,15
17Networks_RH_SomMotB_S2_5-rh,8
17Networks_RH_SomMotB_S2_6-rh,12
17Networks_RH_SomMotB_S2_7-rh,7
17Networks_RH_SomMotB_S2_8-rh,8
17Networks_RH_TempPar_1-rh,12
17Networks_RH_TempPar_10-rh,7
17Networks_RH_TempPar_2-rh,17
17Networks_RH_TempPar_3-rh,9
17Networks_RH_TempPar_4-rh,13
17Networks_RH_TempPar_5-rh,17
17Networks_RH_TempPar_6-rh,10
17Networks_RH_TempPar_7-rh,9
17Networks_RH_TempPar_8-rh,9
17Networks_RH_TempPar_9-rh,9
17Networks_RH_VisCent_ExStr_1-rh,7
17Networks_RH_VisCent_ExStr_10-rh,8
17Networks_RH_VisCent_ExStr_11-rh,14
17Networks_RH_VisCent_ExStr_2-rh,10
17Networks_RH_VisCent_ExStr_3-rh,13
17Networks_RH_VisCent_ExStr_4-rh,8
17Networks_RH_VisCent_ExStr_5-rh,7
17Networks_RH_VisCent_ExStr_6-rh,16
17Networks_RH_VisCent_ExStr_7-rh,11
17Networks_RH_VisCent_ExStr_8-rh,8
17Networks_RH_VisCent_ExStr_9-rh,13
17Networks_RH_VisCent_Striate_1-rh,21
17Networks_RH_VisPeri_ExStrInf_1-rh,16
17Networks_RH_VisPeri_ExStrInf_2-rh,7
17Networks_RH_VisPeri_ExStrInf_3-rh,8
17Networks_RH_VisPeri_ExStrInf_4-rh,12
17Networks_RH_VisPeri_ExStrInf_5-rh,12
17Networks_RH_VisPeri_ExStrSup_1-rh,10
17Networks_RH_VisPeri_ExStrSup_2-rh,10
17Networks_RH_VisPeri_ExStrSup_3-rh,9
17Networks_RH_VisPeri_ExStrSup_4-rh,14
17Networks_RH_VisPeri_StriCal_1-rh,22
17Networks_RH_VisPeri_StriCal_2-rh,15
Background+FreeSurfer_Defined_Medial_Wall-lh,219
Background+FreeSurfer_Defined_Medial_Wall-rh,215
